,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
73,HAT-P-65,,, TEP  ,21.0,3.0,37.44,11.0,59.0,21.9,13.15,11.53,0.1819,1.3,2456409.33263,0.00046,2.6054552,3.1E-06,2016AJ....152..182H,1.86,1.89,0.0104183178258325,283419843,12.5375,34.4036281224225,1.212,0.527,0.03951,2.08755426789077E-07,2.6054552
85,HATS-09,,, TEP  ,19.0,23.0,14.28,-20.0,9.0,58.7,13.28,11.48,0.14618,0.7,2457380.70247,3.6E-05,1.915311,9.4E-07,arXiv:1706.03858,1.503,1.1724,0.00613950758897216,12611594,12.5866,16.0312707024124,1.03,0.816,0.03048,4.79593435239512E-07,1.915311
86,HATS-10,,, TEP  ,19.0,37.0,13.8,-22.0,12.0,16.1,13.11,11.51,0.1253,1.2,2456457.88193,0.00022,3.312846,5.8E-06,2015AJ....150...33B,1.105,0.969,0.007759306017159770,126325985,12.5192,26.705054424769800,1.101,0.526,0.04491,8.94529662085833E-09,3.312846
87,HATS-11,,, TEP  ,19.0,17.0,36.24,-22.0,23.0,23.7,14.02,12.24,0.18202,1.5,2457378.4191,6.9E-05,3.6191634,3.1E-06,arXiv:1706.03858,1.444,1.487,0.0107000900525062,11439959,13.3735,21.324513295884100,1.0,0.83,0.04614,5.17399868188249E-08,3.6191634
88,HATS-12,,, TEP  ,19.0,16.0,48.72,-19.0,21.0,21.2,12.76,11.39,0.18849,0.5,2457364.66541,0.00012,3.1428347,1.1E-05,arXiv:1706.03858,2.21,1.384,0.00395719557745337,11270200,12.2994,15.9473064080019,1.489,2.39,0.04795,6.93141210098947E-07,3.1428347000000000
91,HATS-15,,, TEP  ,20.0,44.0,22.2,-19.0,26.0,15.0,14.77,12.72,0.1175,1.9,2456387.21161,0.00015,1.74748753,9.4E-07,2016PASP..128g4401C,0.922,1.105,0.0144931436276444,271898990,14.0739,12.452077594781200,0.871,2.17,0.02712,2.34935131239374E-07,1.74748753
107,HATS-31,,, TEP  ,12.0,46.0,48.72,-24.0,25.0,38.5,13.11,11.57,0.1914,1.0,2456960.1476,0.0011,3.37796,1.2E-05,2016AJ....152..161D,1.87,1.64,0.007760762001773,9385460,12.5329,27.2362431209686,1.275,0.88,0.0478,1.31323135388844E-07,3.37796
110,HATS-34,,, TEP  ,0.0,3.0,5.88,-62.0,28.0,9.6,13.85,12.1,0.0648,1.6,2457346.74007,0.00046,2.1061619,1.3E-06,2021MNRAS.501.5393L,0.9381,1.282,0.0188441980778509,355703913,13.183,15.6994065640767,0.952,0.951,0.03165,4.7448324667932E-08,2.1061619
112,HATS-36,,, TEP  ,19.0,25.0,54.84,-23.0,12.0,10.0,14.39,12.81,0.14301,1.4,2457360.39033,8.5E-05,4.1752387,2.2E-06,2018AJ....155..119B,1.155,1.235,0.0115363873301194,119262291,13.7805,12.8237109343838,1.222,3.216,0.05425,2.39032112037029E-08,4.1752387
113,HATS-37,,, TEP  ,13.0,19.0,12.46,-22.0,59.0,12.7,12.27,9.95,0.1214,0.8,2458006.80145,0.0005,4.3315366,4.1E-06,arXiv:2007.07135,0.877,0.606,0.00481776867767306,6036597,11.3876,37.7945838550484,0.843,0.099,0.04913,4.41948813463798E-10,4.3315366
125,HATS-50,,, TEP  ,20.0,1.0,42.6,-26.0,4.0,39.3,14.03,12.29,0.1283,1.3,2456870.34792,0.00068,3.8297015,4.6E-06,2018AJ....155...79H,1.117,1.13,0.0103264351711444,301031110,13.4041,15.154129885046700,1.168,0.39,0.05046,3.68511974982089E-09,3.8297015
129,HATS-54,,, TEP  ,13.0,22.0,32.37,-44.0,41.0,19.7,13.91,12.17,0.1042,0.9,2457780.01102,0.00089,2.5441828,4.3E-06,arXiv:1812.07668,1.317,1.067,0.00662303684487045,363851359,13.2755,10.4368181395872,1.097,0.76,0.03763,7.55379081802773E-08,2.5441828
133,HATS-58,,, TEP  ,12.0,27.0,8.97,-48.0,58.0,42.2,11.55,10.29,0.1325,0.7,2457463.2999,0.0017,4.2180896,8.9E-06,arXiv:1812.07668,1.433,1.095,0.005891633728041640,21113347,11.4007,34.259169428444100,1.461,1.03,0.05798,1.34997930784122E-08,4.218089600000000
137,HATS-62,,, TEP  ,20.0,49.0,47.83,-24.0,18.0,12.5,14.02,12.11,0.1144,1.8,2455772.00565,0.00036,3.2768838,2.3E-06,arXiv:1809.01048,0.923,1.032,0.0126140885301005,336732544,13.3102,21.298177463603500,0.9113,0.0,0.04186,0.0,3.2768838
140,HATS-65,,, TEP  ,19.0,31.0,45.55,-26.0,44.0,24.7,12.5,11.1,0.1193,1.7,2457418.49101,0.00038,3.1051602,1.4E-06,arXiv:1809.01048,1.296,1.479,0.0131409337889151,169504920,11.9801,53.7886943024241,1.269,0.793,0.04511,2.53964283510223E-08,3.1051602000000000
141,HATS-67,,, TEP  ,12.0,0.0,50.12,-46.0,8.0,11.1,13.65,12.33,0.0807,1.5,2457787.22633,0.00047,1.6091789,4.2E-06,arXiv:1809.01048,1.441,1.694,0.013944364692617000,272212970,13.174000000000000,16.5373817167591,1.441,1.477,0.03036,5.1265805863006E-07,1.6091789
147,HD_003167c,,, TEP  ,0.0,34.0,57.52,4.0,22.0,53.3,8.94,7.07,0.215,0.1,2457394.9787,0.0012,29.8454,0.0012,2017AJ....154..122C,0.88,0.269,0.000942842385204674,318707987,8.2491,34.4289176897328,0.837,0.0308,0.1795,2.16379723157133E-13,29.8454
150,HD_189733,,, TEP  ,20.0,0.0,43.71,22.0,42.0,39.1,7.68,5.54,0.07529,2.6,2453955.525551,9E-06,2.2185752,7E-08,2015MNRAS.450.3101B,0.752,1.151,0.0236382242428038,256364928,6.8481,922.164530634776,0.84,1.15,0.03142,2.23242593809636E-08,2.2185752
153,KELT-04,,, TEP  ,10.0,28.0,15.01,25.0,34.0,23.5,9.98,8.69,0.1443,1.3,2456193.29157,0.00021,2.9895936,4.8E-06,2016AJ....151...45E,1.603,1.699,0.0113349496466982,165297570,9.6022,190.39991932673200,1.201,0.902,0.04317,1.10083215006445E-07,2.9895936
158,KELT-10,,, TEP  ,18.0,58.0,11.6,-47.0,0.0,11.7,10.7,9.34,0.156,1.4,2457066.72045,0.00027,4.1662739,6.3E-06,2016MNRAS.459.4281K,1.209,1.399,0.0135108511523393,269217040,10.2748,147.320143135741,1.112,0.679,0.0525,8.21107805219251E-09,4.1662739
162,KELT-17,,, TEP  ,8.0,22.0,28.21,13.0,44.0,7.2,9.29,8.65,0.1448,1.0,2457226.14219,0.00033,3.0801718,5.3E-06,2016AJ....152..136Z,1.645,1.525,0.00867177028632866,6893917,9.02097,197.24311501135400,1.635,1.31,0.04881,7.23334563832281E-08,3.0801718
175,NGTS-03,,, TEP  ,6.0,17.0,46.75,-35.0,42.0,22.0,14.64,12.81,0.09594,2.0,2457620.1679,0.00095,1.6753728,3E-06,arXiv:1805.01378,0.93,1.48,0.0255539132338999,124778445,13.9819,12.763554690499300,1.017,2.38,0.0233,4.92256373512895E-07,1.6753728
176,NGTS-08,,, TEP  ,21.0,55.0,54.19,-14.0,4.0,6.2,13.68,11.64,0.109,1.5,2457500.1783,0.00073,2.4997,1E-05,arXiv:1911.02814,0.98,1.09,0.012482475625,102068384,12.9376,22.9487946692566,0.89,0.93,0.035,3.73407730520163E-08,2.4997
178,NGTS-10,,, TEP  ,6.0,7.0,29.35,-25.0,35.0,41.6,14.34,11.73,0.0455,2.1,2457518.84377,0.00017,0.7668944,3E-07,arXiv:1909.12424,0.697,1.205,0.0301584085207612,37348844,13.605,12.4660305054236,0.696,2.162,0.0143,1.77431350968538E-06,0.7668944000000000
180,NGTS-12,,, TEP  ,11.0,44.0,59.99,-35.0,38.0,26.0,12.38,10.59,0.244,0.5,2458572.8549,0.0017,7.532806,4.8E-05,arXiv:2009.10620,1.589,1.048,0.00438909168507054,157230659,11.6634,27.9794956200447,1.021,0.208,0.0757,1.72376432189401E-09,7.532806
181,NGTS-06,,, TEP  ,5.0,3.0,10.9,-30.0,23.0,57.6,14.09,11.65,0.035,2.2,2457982.3785,0.0003,0.882058,1E-06,arXiv:1904.07997,0.656,1.27,0.0378180947265625,1528696,13.1686,16.0388093451088,0.788,1.33,0.01662,3.35729674375432E-07,0.882058
182,OGLE-TR-113,,, TEP  ,10.0,52.0,24.4,-61.0,26.0,48.5,15.0,13.0,0.1117,2.7,2453464.61708,0.00014,1.4324745,1E-08,2016MNRAS.455.1334H,0.766,1.088,0.0203563605112858,915110182,14.7028,10.1987131466469,0.755,1.23,0.02265,1.49644645698412E-07,1.4324745
183,OGLE-TR-056,,, TEP  ,17.0,56.0,35.51,-29.0,32.0,21.2,16.6,-1.0,0.0916,1.0,2453936.60063,0.00014,1.21191123,1.6E-07,arXiv:2002.02606,1.737,1.734,0.0100553787037087,1425441246,15.4172,1.82530949050861,1.339,1.41,0.02453,3.89269245183368E-06,1.21191123
186,Qatar-2,,, TEP  ,13.0,50.0,37.4,-6.0,48.0,14.4,13.49,10.62,0.07541,3.2,2457250.200816,8E-06,1.33711677,1E-07,2017MNRAS.471..394M,0.7033,1.115,0.0253611172627381,2521105,12.3164,63.790293211816,0.727,2.466,0.02136,2.7255597857137E-07,1.33711677
187,Qatar-3,,, TEP  ,23.0,56.0,36.48,36.0,12.0,46.6,12.88,11.22,0.1296,0.9,2457312.48458,0.0001,2.5078952,3.2E-06,arXiv:1812.05882,1.272,1.096,0.00749112023743127,291751373,12.355,22.8895177848118,1.145,4.31,0.03783,3.35912248286907E-07,2.5078952
190,Qatar-6,,, TEP  ,14.0,48.0,50.48,22.0,9.0,9.1,11.44,9.23,0.0662,1.8,2457784.0327,0.00049,3.506195,1.8E-05,2018AJ....155...52A,0.722,1.062,0.0218310447825178,311133118,10.5319,106.310160824904,0.822,0.668,0.0423,2.44449414861339E-09,3.5061950000000000
200,WASP-002,,, TEP  ,20.0,30.0,54.13,6.0,25.0,46.4,11.98,9.63,0.07372,2.0,2453991.515553,7.4E-05,2.15222114,1E-08,arXiv:1708.07909,0.821,1.06,0.0168199731603864,374530847,10.9984,94.0989279921114,0.843,0.892,0.0308,2.9566484475974E-08,2.15222114
202,WASP-004,,, TEP  ,23.0,34.0,15.06,-42.0,3.0,41.1,12.46,10.75,0.08994,2.9,2456505.748953,2E-05,1.33823142,2E-08,arXiv:1907.08269,0.91,1.364,0.0226697034059172,402026209,11.8295,88.2094114765407,0.927,1.249,0.02318,2.60869144417051E-07,1.33823142
207,WASP-010,,, TEP  ,23.0,15.0,58.3,31.0,27.0,46.3,12.39,9.98,0.09318,2.9,2454664.03804,6E-05,3.0927295,3E-07,2016PASP..128b4402S,0.678,1.039,0.0236958116728068,431701493,11.5189,110.254166963368,0.73,3.14,0.0378,1.65804557619892E-08,3.0927295
211,WASP-014,,, TEP  ,14.0,33.0,6.35,21.0,53.0,41.0,9.75,8.62,0.1275,1.2,2456034.21261,0.00015,2.24376524,4.4E-07,2015ApJ...811..122W,1.318,1.24,0.00893125382183425,347430350,9.32423,190.841231509487,1.3,7.59,0.037,6.95291724993177E-07,2.24376524
218,WASP-021,,, TEP  ,23.0,9.0,58.23,18.0,23.0,46.0,11.59,9.98,0.1426,1.4,2454743.04217,0.00065,4.3225126,2.2E-06,2015MNRAS.451.4060S,1.136,1.162,0.0105573635132616,436478932,10.9644,93.5524554829656,0.89,0.276,0.0499,3.93738797228837E-09,4.3225126
221,WASP-024,,, TEP  ,15.0,8.0,51.74,2.0,20.0,35.8,11.23,10.15,0.11364,1.1,2454945.589444,9E-05,2.34122187,3E-07,arXiv:1708.07909,1.317,1.303,0.00987682056001653,460396820,11.0062,63.94798692298510,1.168,1.109,0.03635,1.23082329801243E-07,2.34122187
224,WASP-028,,, TEP  ,23.0,34.0,27.87,-1.0,34.0,48.1,12.15,10.73,0.13495,1.1,2457642.502126,1.4E-05,3.40883495,1.5E-07,arXiv:1710.08892,1.083,1.219,0.0127835177899209,398572544,11.6238,46.9885643411169,0.993,0.889,0.0442,1.641661657557E-08,3.40883495
227,WASP-032,,, TEP  ,0.0,15.0,50.81,1.0,12.0,1.5,11.56,10.16,0.101,1.3,2456379.8909,0.0004,2.7186643,1.1E-06,arXiv:2012.07478,1.11,1.18,0.0114029688832075,427332229,11.021000000000000,70.598550039473,1.1,3.6,0.0394,1.20599027730664E-07,2.7186643000000000
232,WASP-037,,, TEP  ,14.0,47.0,46.57,1.0,3.0,53.9,12.72,11.09,0.1304,1.9,2456393.97698,0.00052,3.5774807,1.9E-06,arXiv:1812.05882,1.003,1.16,0.0134962773533835,368805700,12.1159,57.2660956758967,0.925,1.8,0.0446,2.32413499514156E-08,3.5774807
233,WASP-038,,, TEP  ,16.0,15.0,50.36,10.0,1.0,57.3,9.45,8.0,0.1942,0.8,2455335.9205,0.00074,6.871815,4.4E-05,2011A+A...525A..54B,1.331,1.094,0.006816766455848830,318696424,8.836210000000000,199.852765285365,1.203,2.691,0.07522,8.05697300407871E-09,6.871815
234,WASP-039,,, TEP  ,14.0,29.0,18.42,-3.0,26.0,40.1,12.1,10.2,0.1168,2.5,2455342.9696,0.00014,4.05528047,7E-07,2016ApJ...827...19F,0.939,1.279,0.0187201699265442,181949561,11.3763,116.692886944999,0.913,0.281,0.04828,1.77839161774687E-09,4.05528047
244,WASP-052,,, TEP  ,23.0,13.0,58.76,8.0,45.0,40.6,12.2,10.09,0.0754,2.7,2456862.79776,0.00016,1.74978119,5.2E-07,2017MNRAS.465..843M,0.786,1.253,0.0256422973551504,427685831,11.3819,100.895182244785,0.804,0.434,0.02643,2.60711868037152E-08,1.74978119
249,WASP-057,,, TEP  ,14.0,55.0,16.84,-2.0,3.0,27.5,13.04,11.24,0.096,1.8,2456058.5491,0.00016,2.83891856,8.1E-07,2015MNRAS.454.3094S,0.927,1.05,0.0129455054539647,175772482,12.2688,41.8591486484991,0.886,0.644,0.03769,1.35837704869457E-08,2.83891856
251,WASP-059,,, TEP  ,23.0,18.0,29.54,24.0,53.0,21.4,13.0,9.72,0.102,2.0,2455830.95559,0.00053,7.919585,1E-05,2013A+A...549A.134H,0.613,0.775,0.0161280677133092,91051152,11.5549,77.7080060934942,0.719,0.863,0.0697,1.31135595738804E-10,7.919585
252,WASP-060,,, TEP  ,23.0,46.0,39.98,31.0,9.0,21.4,12.18,10.59,0.139,0.9,2456952.43264,0.00017,4.305004,5.9E-06,2018A+A...613A..41M,1.401,1.225,0.007714286943282840,288246496,11.5639,40.5816722368243,1.229,0.56,0.05544,9.75014150361336E-09,4.305004
259,WASP-067,,, TEP  ,19.0,42.0,58.51,-19.0,56.0,58.4,12.54,10.13,0.079,1.5,2456548.83747,0.0002,4.6144172,1.3E-06,arXiv:2012.07478,0.817,1.091,0.0179930700309705,68952448,11.355,58.374179032435000,0.829,0.406,0.051,1.07283049886635E-09,4.6144172
260,WASP-068,,, TEP  ,20.0,20.0,22.98,-19.0,18.0,52.9,10.68,8.95,0.214,0.8,2456064.86356,0.00061,5.084298,1.5E-05,2014A+A...563A.143D,1.69,1.24,0.00543212610342775,71841620,9.9543,118.01422273757100,1.24,0.95,0.06206,2.38219217133378E-08,5.084298
261,WASP-069,,, TEP  ,21.0,0.0,6.19,-5.0,5.0,40.1,9.87,7.46,0.0929,2.0,2455748.83408,0.00017,3.86814098,4E-07,arXiv:1911.08331,0.813,1.057,0.017055669256686,248853232,8.8628,341.190565131798,0.826,0.26,0.04525,1.22363901861361E-09,3.86814098
262,WASP-070,,, TEP  ,21.0,1.0,54.48,-13.0,25.0,59.8,10.79,9.58,0.1389,1.0,2455736.50348,0.00027,3.7130203,4.7E-06,2014MNRAS.445.1114A,1.251,1.186,0.009068900579418160,442530946,10.5959,82.38189063177610,1.111,0.592,0.0486,1.25029661692962E-08,3.7130203
266,WASP-074,,, TEP  ,20.0,18.0,9.32,-1.0,4.0,32.6,9.76,8.22,0.0955,0.8,2457173.87198,0.00018,2.13774453,7.7E-07,arXiv:1903.02800,1.536,1.404,0.00843046765274048,244089109,9.13055,121.39482323257,1.191,0.826,0.03443,2.54471679954735E-07,2.13774453
267,WASP-075,,, TEP  ,22.0,49.0,32.57,-10.0,40.0,32.0,11.45,10.06,0.08097,0.9,2457007.46252,5E-05,2.4841993,1.7E-06,arXiv:2012.07478,1.27,1.31,0.0107358153079856,36592530,10.931,46.257824227531400,1.16,1.08,0.0377,8.38644351308801E-08,2.4841993
271,WASP-079,,, TEP  ,4.0,25.0,29.02,-30.0,36.0,1.5,10.04,9.06,0.1661,1.3,2455545.23874,0.00037,3.66239264,5.6E-07,arXiv:1911.02051,1.51,1.53,0.0103592627657778,170634116,9.6757,196.468438050097,1.39,0.86,0.0519,2.67813092446361E-08,3.66239264
272,WASP-080,,, TEP  ,20.0,12.0,40.18,-2.0,8.0,39.2,11.87,8.35,0.08878,3.5,2456487.425006,2.4E-05,3.06785234,8.1E-07,2015MNRAS.450.2279T,0.593,0.986,0.0278961535783978,243921117,10.3622,264.247403858307,0.596,0.562,0.03479,2.81703073295897E-09,3.06785234
273,WASP-081,,, TEP  ,20.0,16.0,49.89,3.0,17.0,38.7,12.29,10.89,0.14501,1.4,2456195.57462,0.0002,2.7164762,2.3E-06,2017MNRAS.467.1714T,1.283,1.429,0.0125173105483984,399402994,11.8886,51.962537085232600,1.08,0.729,0.03908,5.34520647214552E-08,2.7164762
277,WASP-085,,, TEP  ,11.0,43.0,38.01,6.0,33.0,49.4,10.41,8.73,0.1118,1.3,2456847.472856,1.4E-05,2.6556777,4.4E-07,2016AJ....151..150M,0.935,1.24,0.0177467990094083,380619414,10.15,124.301255307687,1.09,1.265,0.039,1.90853115115773E-08,2.6556777
280,WASP-089,,, TEP  ,20.0,55.0,35.98,-18.0,58.0,16.1,13.09,11.0,0.1025,1.9,2456207.02114,0.00012,3.3564227,2.5E-06,2015AJ....150...18H,0.88,1.04,0.0140929274586777,77202722,12.4035,41.526331430103200,0.92,5.9,0.0427,4.95037816038846E-08,3.3564227
281,WASP-090,,, TEP  ,21.0,2.0,7.7,7.0,3.0,23.7,11.69,10.25,0.1398,0.6,2456235.5639,0.0005,3.916243,3E-06,2016A+A...585A.126W,1.98,1.63,0.00683824584793643,459730973,11.07,37.1865877942667,1.55,0.63,0.0562,4.58092763073032E-08,3.916243
293,WASP-102,,, TEP  ,22.0,25.0,51.45,15.0,51.0,24.3,12.73,11.11,0.1459,0.9,2456510.5872,0.0002,2.709813,5E-06,arXiv:1608.04225,1.331,1.259,0.0090280765205954,51637609,12.1088,28.833754755313900,1.167,0.624,0.0401,4.47282960747137E-08,2.709813
294,WASP-103,,, TEP  ,16.0,37.0,15.59,7.0,11.0,0.0,12.39,10.77,0.11232,1.3,2456836.2963,7E-05,0.92554535,9.4E-07,arXiv:2002.02606,1.413,1.646,0.0136922626147606,276754403,11.7586,46.3351207243354,1.205,1.47,0.01979,4.7001566449423E-06,0.92554535
295,WASP-104,,, TEP  ,10.0,42.0,24.61,7.0,26.0,6.3,11.79,9.88,0.07283,1.5,2457935.070228,1.1E-05,1.75540563,1.1E-06,arXiv:2011.06329,0.935,1.093,0.0137884987576682,393495970,11.0658,67.2764155557936,1.016,1.216,0.0286,9.28042706211443E-08,1.75540563
300,WASP-109,,, TEP  ,15.0,28.0,13.23,-16.0,24.0,38.8,11.44,10.2,0.11856,1.2,2456361.19263,0.00023,3.3190233,4.2E-06,arXiv:1410.3449,1.346,1.443,0.0115969136804127,335255072,10.9903,71.9588993831062,1.203,0.91,0.0463,3.26134179012327E-08,3.3190233
305,WASP-114,,, TEP  ,21.0,50.0,39.74,10.0,27.0,46.9,12.74,11.07,0.1159,1.1,2456667.73661,0.00021,1.54877746,8E-08,arXiv:2002.02606,1.43,1.339,0.00884685605971075,466390120,12.0671,32.3238239663373,1.289,1.769,0.02851,9.04626326485869E-07,1.54877746
307,WASP-118,,, TEP  ,1.0,18.0,12.12,2.0,42.0,10.2,11.02,9.79,0.20464,0.8,2457423.044825,2E-05,4.0460407,2.6E-06,2017MNRAS.469.1622M,1.754,1.394,0.00637332773347839,380907135,10.5559,81.90769447975440,1.319,0.52,0.0545,2.82633858800233E-08,4.0460407
320,WASP-133,,, TEP  ,20.0,58.0,18.07,-35.0,47.0,47.6,12.88,11.18,0.1433,0.9,2457116.9874,0.0002,2.176423,1E-06,2016A+A...591A..55M,1.44,1.21,0.0071243564237316700,92449173,12.2247,26.370470457828000,1.16,1.16,0.0345,2.63037211120412E-07,2.176423
321,WASP-134,,, TEP  ,21.0,50.0,16.77,4.0,11.0,40.3,11.25,9.41,0.2218,0.9,2457201.03099,0.00075,10.1467583,8E-06,arXiv:1812.09264,1.175,0.988,0.00713408103515437,388909695,10.4106,104.436328800949,1.131,1.412,0.0956,7.27063210051282E-10,10.146758300000000
337,WASP-151,,, TEP  ,23.0,16.0,15.22,0.0,18.0,24.5,12.87,11.19,0.15268,1.1,2457763.676241,4E-05,4.5334775,2.3E-06,arXiv:1710.08892,1.181,1.187,0.010192988279872,262662119,12.1796,34.3283545644038,1.081,0.36,0.055,3.15655276596425E-09,4.5334775
340,WASP-157,,, TEP  ,13.0,26.0,37.25,-8.0,19.0,3.2,12.91,10.76,0.0811,0.7,2457257.803194,8.8E-05,3.9516205,4E-06,2016PASP..128l4403M,1.134,1.065,0.008899651256001370,179012583,11.7283,21.632503669489700,1.26,0.574,0.0529,4.28182058787037E-09,3.9516205
341,WASP-158,,, TEP  ,0.0,16.0,35.12,-10.0,58.0,35.1,12.05,10.88,0.149,0.6,2457619.9195,0.001,3.656333,4E-06,arXiv:1803.02224,1.39,1.07,0.00597912781028415,37718056,11.7083,25.4689340435714,1.38,2.79,0.0517,5.8972102103263E-08,3.656333
346,WASP-163,,, TEP  ,17.0,6.0,8.98,-10.0,24.0,47.0,12.54,10.15,0.093,1.6,2457918.462,0.0004,1.6096884,1.5E-06,arXiv:1807.06548,1.015,1.202,0.0141506611980975,145368316,11.6123,57.1687788126174,0.97,1.87,0.0266,3.23811379245742E-07,1.6096884000000000
356,WASP-174,,, TEP  ,13.0,3.0,10.57,-41.0,23.0,5.3,11.79,10.58,0.084,0.8,2458545.5266,0.00014,4.2337005,1.8E-07,arXiv:1909.08674,1.347,1.437,0.0114836045049504,102192004,11.3287,32.6477961970029,1.24,0.33,0.05503,4.8554878911665E-09,4.2337005000000000
358,WASP-176,,, TEP  ,20.0,54.0,44.94,9.0,10.0,44.5,12.01,10.64,0.2147,0.8,2458234.1771,0.0007,3.899052,5E-06,arXiv:2004.06622,1.925,1.505,0.00616753204049587,375942197,11.5352,45.6801830286193,1.345,0.855,0.0535,7.96028827507325E-08,3.899052
359,WASP-177,,, TEP  ,22.0,19.0,11.19,-1.0,50.0,4.7,12.58,-1.0,0.0672,1.9,2457994.3714,0.00028,3.071722,1E-06,arXiv:1903.06622,0.885,1.58,0.0321608497187909,439842788,11.4825,62.813121592714200,0.876,0.508,0.03957,6.73823129502594E-09,3.0717220000000000
362,WASP-181,,, TEP  ,1.0,47.0,10.37,3.0,7.0,59.0,12.91,11.44,0.1277,1.6,2457747.66681,0.00035,4.5195064,3.4E-06,arXiv:1903.06622,0.965,1.184,0.0151896812433515,293457754,12.3553,40.384545830956800,1.04,0.299,0.05427,1.0611469104978E-09,4.519506400000000
366,WASP-185,,, TEP  ,14.0,16.0,14.31,-19.0,32.0,32.2,11.02,9.51,0.192,0.7,2456935.982,0.002,9.38755,2E-05,arXiv:1907.11667,1.5,1.25,0.0070070850694444400,46020827,10.4725,72.90107075113830,1.12,0.98,0.0904,2.28519045845013E-09,9.38755
367,WASP-186,,, TEP  ,1.0,15.0,58.85,21.0,37.0,0.9,10.82,9.53,0.1127,0.61,2456237.1195,0.0009,5.026799,1.3E-05,2020MNRAS.499..428S,1.47,1.11,0.0057532225,411608801,10.3002,53.771728990678200,1.22,4.22,0.06,6.33991226938979E-08,5.026799
368,WASP-187,,, TEP  ,1.0,9.0,53.96,25.0,40.0,54.0,10.3,8.79,0.2425,0.35,2455197.3529,0.0022,5.147878,7E-06,2020MNRAS.499..428S,2.83,1.64,0.00338855631160334,15692883,9.7116,62.699861020235400,1.54,0.8,0.0653,1.64905728910991E-07,5.147878
369,WASP-189,,, TEP  ,15.0,2.0,44.86,-3.0,1.0,52.9,6.64,6.06,0.18057,0.6,2456706.4545,0.0018,2.724033,4.2E-06,arXiv:1809.04897,2.36,1.619,0.00474864357855187,157910432,6.4157,381.21392118144700,2.03,1.99,0.05053,4.5234601456334E-07,2.7240330000000000
372,Wendelstein-1,,, TEP  ,19.0,56.0,12.15,17.0,34.0,11.9,15.55,12.2,0.075,2.8,2455367.738464,1.4E-05,2.663416,1E-06,arXiv:2005.13560,0.61,1.031,0.028824218596083000,75262942,14.1959,13.265746355655500,0.65,0.59,0.0282,8.92570429165122E-09,2.663416
377,XO-5,,, TEP  ,7.0,46.0,51.96,39.0,5.0,40.5,12.13,10.35,0.12987,1.1,2456864.31288,0.00023,4.18775581,5.8E-07,2015AcA....65..117S,1.129,1.142,0.0103239099112691,9155187,11.4556,51.4434251761393,1.038,1.19,0.05148,1.20761036644448E-08,4.18775581