System,Cadence,Source,Sector
CoRoT-01,120,SPOC,33
CoRoT-01,120,SPOC,6
EPIC_201498078,120,SPOC,9
EPIC_201498078,120,SPOC,35
EPIC_211442297,120,SPOC,34
EPIC_211442297,120,SPOC,7
HAT-P-02,120,SPOC,24
HAT-P-02,120,SPOC,25
HAT-P-03,120,SPOC,16
HAT-P-03,120,SPOC,22
HAT-P-04,120,SPOC,24
HAT-P-05,120,SPOC,40
HAT-P-05,120,SPOC,26
HAT-P-06,1800,TESS-SPOC,16
HAT-P-06,1800,TESS-SPOC,17
HAT-P-07,120,SPOC,40
HAT-P-07,120,SPOC,41
HAT-P-07,120,SPOC,14
HAT-P-07,120,SPOC,15
HAT-P-09,120,SPOC,20
HAT-P-11,120,SPOC,41
HAT-P-11,120,SPOC,14
HAT-P-11,120,SPOC,15
HAT-P-12,1800,TESS-SPOC,16
HAT-P-12,120,SPOC,23
HAT-P-14,120,SPOC,25
HAT-P-14,120,SPOC,26
HAT-P-16,120,SPOC,17
HAT-P-17,120,SPOC,15
HAT-P-18,120,SPOC,25
HAT-P-18,120,SPOC,26
HAT-P-19,1800,TESS-SPOC,17
HAT-P-21,120,SPOC,22
HAT-P-22,120,SPOC,21
HAT-P-24,120,SPOC,7
HAT-P-24,120,SPOC,33
HAT-P-25,120,SPOC,43
HAT-P-25,120,SPOC,42
HAT-P-25,1800,TESS-SPOC,18
HAT-P-29,1800,TESS-SPOC,18
HAT-P-30,120,SPOC,7
HAT-P-30,120,SPOC,34
HAT-P-31,120,SPOC,40
HAT-P-31,120,SPOC,26
HAT-P-32,1800,TESS-SPOC,18
HAT-P-33,120,SPOC,20
HAT-P-34,120,SPOC,41
HAT-P-34,120,SPOC,14
HAT-P-35,120,SPOC,7
HAT-P-35,120,SPOC,34
HAT-P-36,120,SPOC,22
HAT-P-38,1800,TESS-SPOC,18
HAT-P-40,1800,TESS-SPOC,16
HAT-P-42,120,SPOC,8
HAT-P-42,120,SPOC,34
HAT-P-43,120,SPOC,34
HAT-P-43,120,SPOC,7
HAT-P-44,1800,TESS-SPOC,16
HAT-P-44,120,SPOC,23
HAT-P-47,1800,TESS-SPOC,18
HAT-P-48,1800,TESS-SPOC,18
HAT-P-49,120,SPOC,41
HAT-P-49,1800,TESS-SPOC,14
HAT-P-50,120,SPOC,7
HAT-P-50,120,SPOC,34
HAT-P-52,120,SPOC,42
HAT-P-52,120,SPOC,43
HAT-P-54,120,SPOC,43
HAT-P-55,120,SPOC,25
HAT-P-55,120,SPOC,26
HAT-P-56,120,SPOC,43
HAT-P-58,1800,TESS-SPOC,19
HAT-P-59,1800,TESS-SPOC,14
HAT-P-59,1800,TESS-SPOC,15
HAT-P-59,1800,TESS-SPOC,16
HAT-P-59,1800,TESS-SPOC,17
HAT-P-59,1800,TESS-SPOC,18
HAT-P-59,1800,TESS-SPOC,20
HAT-P-59,1800,TESS-SPOC,21
HAT-P-59,1800,TESS-SPOC,22
HAT-P-59,120,SPOC,23
HAT-P-59,120,SPOC,24
HAT-P-59,120,SPOC,25
HAT-P-59,120,SPOC,26
HAT-P-59,120,SPOC,41
HAT-P-60,1800,TESS-SPOC,18
HAT-P-64,1800,TESS-SPOC,5
HAT-P-64,600,TESS-SPOC,32
HAT-P-66,120,SPOC,21
HAT-P-67,120,SPOC,24
HAT-P-67,120,SPOC,26
HAT-P-69,120,SPOC,34
HAT-P-69,1800,TESS-SPOC,7
HAT-P-70,120,SPOC,32
HAT-P-70,1800,TESS-SPOC,5
HATS-01,120,SPOC,10
HATS-01,120,SPOC,36
HATS-02,120,SPOC,36
HATS-02,120,SPOC,10
HATS-03,120,SPOC,1
HATS-04,120,SPOC,33
HATS-04,120,SPOC,6
HATS-05,120,SPOC,5
HATS-05,120,SPOC,32
HATS-06,120,SPOC,32
HATS-06,120,SPOC,33
HATS-06,120,SPOC,6
HATS-13,120,SPOC,28
HATS-13,120,SPOC,1
HATS-14,120,SPOC,1
HATS-14,120,SPOC,28
HATS-16,120,SPOC,2
HATS-16,120,SPOC,29
HATS-17,120,SPOC,37
HATS-17,120,SPOC,10
HATS-17,120,SPOC,11
HATS-18,120,SPOC,10
HATS-18,120,SPOC,36
HATS-19,120,SPOC,9
HATS-19,120,SPOC,35
HATS-19,120,SPOC,36
HATS-21,120,SPOC,13
HATS-22,120,SPOC,10
HATS-22,120,SPOC,36
HATS-24,120,SPOC,39
HATS-24,120,SPOC,13
HATS-25,120,SPOC,37
HATS-25,120,SPOC,11
HATS-26,120,SPOC,35
HATS-26,120,SPOC,8
HATS-26,120,SPOC,9
HATS-27,120,SPOC,37
HATS-27,120,SPOC,10
HATS-27,120,SPOC,11
HATS-28,120,SPOC,13
HATS-30,120,SPOC,28
HATS-30,120,SPOC,29
HATS-30,120,SPOC,1
HATS-30,120,SPOC,2
HATS-32,120,SPOC,2
HATS-32,600,TESS-SPOC,29
HATS-33,120,SPOC,27
HATS-33,120,SPOC,13
HATS-35,1800,TESS-SPOC,13
HATS-38,1800,TESS-SPOC,9
HATS-38,600,TESS-SPOC,35
HATS-39,120,SPOC,34
HATS-41,120,SPOC,33
HATS-41,120,SPOC,34
HATS-41,1800,TESS-SPOC,6
HATS-42,600,TESS-SPOC,33
HATS-42,600,TESS-SPOC,34
HATS-43,120,SPOC,32
HATS-43,120,SPOC,5
HATS-43,120,SPOC,6
HATS-45,120,SPOC,6
HATS-45,120,SPOC,7
HATS-45,120,SPOC,33
HATS-46,120,SPOC,28
HATS-46,120,SPOC,29
HATS-46,120,SPOC,2
HATS-47,120,SPOC,13
HATS-47,120,SPOC,27
HATS-48,120,SPOC,13
HATS-48,120,SPOC,27
HATS-51,120,SPOC,33
HATS-51,120,SPOC,34
HATS-51,1800,TESS-SPOC,6
HATS-51,1800,TESS-SPOC,7
HATS-52,120,SPOC,35
HATS-53,120,SPOC,36
HATS-53,120,SPOC,37
HATS-55,600,TESS-SPOC,34
HATS-56,120,SPOC,37
HATS-57,1800,TESS-SPOC,5
HATS-57,1800,TESS-SPOC,4
HATS-57,120,SPOC,31
HATS-58,120,SPOC,37
HATS-59,120,SPOC,36
HATS-60,120,SPOC,42
HATS-60,1800,TESS-SPOC,2
HATS-60,120,SPOC,29
HATS-61,600,TESS-SPOC,31
HATS-63,120,SPOC,31
HATS-63,120,SPOC,32
HATS-64,600,TESS-SPOC,35
HATS-67,120,SPOC,37
HATS-68,1800,TESS-SPOC,1
HATS-68,1800,TESS-SPOC,2
HATS-68,120,SPOC,28
HATS-68,120,SPOC,29
HATS-69,120,SPOC,27
HATS-70,600,TESS-SPOC,33
HATS-70,600,TESS-SPOC,34
HATS-71,120,SPOC,1
HATS-71,120,SPOC,2
HATS-71,120,SPOC,28
HATS-71,120,SPOC,29
HATS-72,1800,TESS-SPOC,2
HATS-72,120,SPOC,42
HD_017156,120,SPOC,25
HD_017156,120,SPOC,18
HD_017156,120,SPOC,19
HD_097658,120,SPOC,22
HD_189733,120,SPOC,41
K2-237,120,SPOC,39
KELT-03,120,SPOC,21
KELT-06,120,SPOC,23
KELT-07,120,SPOC,43
KELT-07,120,SPOC,19
KELT-09,120,SPOC,41
KELT-09,120,SPOC,14
KELT-09,120,SPOC,15
KELT-11,120,SPOC,9
KELT-15,120,SPOC,34
KELT-15,120,SPOC,35
KELT-15,120,SPOC,36
KELT-15,120,SPOC,7
KELT-15,120,SPOC,9
KELT-16,120,SPOC,41
KELT-16,120,SPOC,15
KELT-18,1800,TESS-SPOC,16
KELT-18,120,SPOC,23
KELT-18,1800,TESS-SPOC,22
KELT-18,1800,TESS-SPOC,15
KELT-19,120,SPOC,7
KELT-19,600,TESS-SPOC,33
KELT-20,120,SPOC,40
KELT-20,120,SPOC,41
KELT-20,120,SPOC,14
KELT-21,120,SPOC,41
KELT-21,1800,TESS-SPOC,14
KELT-21,1800,TESS-SPOC,15
KELT-23,120,SPOC,41
KELT-23,120,SPOC,14
KELT-23,120,SPOC,15
KELT-23,120,SPOC,16
KELT-23,120,SPOC,17
KELT-23,120,SPOC,21
KELT-23,120,SPOC,23
KELT-24,120,SPOC,40
KELT-24,120,SPOC,41
KELT-24,120,SPOC,14
KELT-24,120,SPOC,20
KELT-24,120,SPOC,21
KELT-25,120,SPOC,33
KELT-25,120,SPOC,34
KELT-25,1800,TESS-SPOC,7
Kepler-448,120,SPOC,15
KPS-1,120,SPOC,21
KPS-1,120,SPOC,41
MASCARA-4,120,SPOC,36
MASCARA-4,120,SPOC,38
NGTS-02,1800,TESS-SPOC,11
NGTS-02,120,SPOC,38
NGTS-09,120,SPOC,35
NGTS-11,1800,TESS-SPOC,3
NGTS-11,120,SPOC,30
NGTS-12,1800,TESS-SPOC,10
Qatar-1,120,SPOC,17
Qatar-1,120,SPOC,21
Qatar-1,120,SPOC,24
Qatar-1,120,SPOC,25
Qatar-1,120,SPOC,41
Qatar-10,1800,TESS-SPOC,14
Qatar-10,1800,TESS-SPOC,15
Qatar-10,1800,TESS-SPOC,16
Qatar-10,1800,TESS-SPOC,17
Qatar-10,1800,TESS-SPOC,18
Qatar-10,1800,TESS-SPOC,19
Qatar-10,1800,TESS-SPOC,20
Qatar-10,1800,TESS-SPOC,21
Qatar-10,1800,TESS-SPOC,22
Qatar-10,1800,TESS-SPOC,23
Qatar-10,120,SPOC,24
Qatar-10,120,SPOC,25
Qatar-10,120,SPOC,26
Qatar-10,120,SPOC,40
Qatar-10,120,SPOC,41
Qatar-5,120,SPOC,17
Qatar-8,1800,TESS-SPOC,14
Qatar-8,1800,TESS-SPOC,20
Qatar-8,1800,TESS-SPOC,21
Qatar-8,120,SPOC,40
Qatar-8,120,SPOC,41
Qatar-9,120,SPOC,41
Qatar-9,1800,TESS-SPOC,14
TrES-1,120,SPOC,40
TrES-1,120,SPOC,41
TrES-1,120,SPOC,14
TrES-2 A,120,SPOC,40
TrES-2 A,120,SPOC,41
TrES-2 A,120,SPOC,26
TrES-3,120,SPOC,40
TrES-3,120,SPOC,25
TrES-3,120,SPOC,26
TrES-4,120,SPOC,40
TrES-4,120,SPOC,25
TrES-4,120,SPOC,26
TrES-5,120,SPOC,41
WASP-001,1800,TESS-SPOC,17
WASP-003,120,SPOC,40
WASP-003,120,SPOC,26
WASP-004,120,SPOC,2
WASP-004,120,SPOC,28
WASP-004,120,SPOC,29
WASP-005,120,SPOC,2
WASP-005,120,SPOC,29
WASP-006,120,SPOC,2
WASP-006,120,SPOC,29
WASP-007,120,SPOC,27
WASP-008,120,SPOC,2
WASP-011,120,SPOC,42
WASP-011,1800,TESS-SPOC,18
WASP-012,120,SPOC,43
WASP-012,120,SPOC,20
WASP-013,120,SPOC,21
WASP-015,120,SPOC,11
WASP-016,120,SPOC,11
WASP-017,120,SPOC,12
WASP-017,120,SPOC,38
WASP-018,120,SPOC,2
WASP-018,120,SPOC,3
WASP-018,120,SPOC,29
WASP-018,120,SPOC,30
WASP-019,120,SPOC,9
WASP-019,120,SPOC,36
WASP-020,120,SPOC,2
WASP-020,120,SPOC,29
WASP-022,120,SPOC,4
WASP-023,120,SPOC,6
WASP-023,120,SPOC,34
WASP-025,120,SPOC,10
WASP-026,120,SPOC,29
WASP-028,120,SPOC,42
WASP-029,120,SPOC,2
WASP-029,120,SPOC,29
WASP-031,120,SPOC,9
WASP-031,120,SPOC,36
WASP-032,120,SPOC,42
WASP-034,120,SPOC,9
WASP-034,120,SPOC,36
WASP-035,120,SPOC,5
WASP-035,120,SPOC,32
WASP-036,120,SPOC,8
WASP-036,120,SPOC,34
WASP-041,120,SPOC,10
WASP-041,120,SPOC,37
WASP-042,120,SPOC,10
WASP-042,120,SPOC,37
WASP-043,120,SPOC,9
WASP-043,120,SPOC,35
WASP-044,120,SPOC,3
WASP-045,120,SPOC,2
WASP-045,120,SPOC,29
WASP-046,120,SPOC,27
WASP-046,120,SPOC,1
WASP-047b,120,SPOC,42
WASP-048,120,SPOC,40
WASP-048,120,SPOC,41
WASP-048,1800,TESS-SPOC,14
WASP-048,1800,TESS-SPOC,15
WASP-048,1800,TESS-SPOC,16
WASP-048,120,SPOC,23
WASP-048,120,SPOC,26
WASP-049,120,SPOC,33
WASP-049,120,SPOC,6
WASP-050,120,SPOC,4
WASP-050,120,SPOC,31
WASP-053,120,SPOC,3
WASP-053,120,SPOC,30
WASP-054,120,SPOC,23
WASP-055,120,SPOC,10
WASP-055,120,SPOC,37
WASP-056,120,SPOC,22
WASP-058,120,SPOC,40
WASP-058,120,SPOC,25
WASP-058,120,SPOC,26
WASP-058,1800,TESS-SPOC,14
WASP-061,120,SPOC,5
WASP-061,120,SPOC,32
WASP-062,120,SPOC,1
WASP-062,120,SPOC,2
WASP-062,120,SPOC,3
WASP-062,120,SPOC,4
WASP-062,120,SPOC,6
WASP-062,120,SPOC,7
WASP-062,120,SPOC,8
WASP-062,120,SPOC,9
WASP-062,120,SPOC,10
WASP-062,120,SPOC,11
WASP-062,120,SPOC,12
WASP-062,120,SPOC,13
WASP-062,120,SPOC,27
WASP-062,120,SPOC,28
WASP-062,120,SPOC,29
WASP-062,120,SPOC,30
WASP-062,120,SPOC,31
WASP-062,120,SPOC,32
WASP-062,120,SPOC,33
WASP-062,120,SPOC,34
WASP-062,120,SPOC,36
WASP-062,120,SPOC,37
WASP-062,120,SPOC,38
WASP-062,120,SPOC,39
WASP-063,120,SPOC,6
WASP-063,120,SPOC,7
WASP-063,120,SPOC,32
WASP-063,120,SPOC,33
WASP-064,120,SPOC,33
WASP-064,120,SPOC,34
WASP-064,120,SPOC,6
WASP-064,120,SPOC,7
WASP-065,120,SPOC,34
WASP-066,120,SPOC,9
WASP-066,120,SPOC,36
WASP-071,120,SPOC,42
WASP-071,120,SPOC,43
WASP-071,120,SPOC,4
WASP-072,120,SPOC,3
WASP-072,120,SPOC,4
WASP-072,120,SPOC,30
WASP-072,120,SPOC,31
WASP-073,120,SPOC,1
WASP-073,120,SPOC,27
WASP-075,120,SPOC,42
WASP-076,120,SPOC,42
WASP-076,120,SPOC,43
WASP-076,120,SPOC,30
WASP-077,120,SPOC,4
WASP-077,120,SPOC,31
WASP-078,120,SPOC,5
WASP-078,120,SPOC,31
WASP-078,120,SPOC,32
WASP-079,120,SPOC,32
WASP-079,120,SPOC,4
WASP-079,120,SPOC,5
WASP-079,120,SPOC,31
WASP-082,120,SPOC,5
WASP-083,120,SPOC,10
WASP-083,120,SPOC,37
WASP-084,120,SPOC,34
WASP-086,120,SPOC,40
WASP-086,120,SPOC,25
WASP-086,120,SPOC,26
WASP-087,120,SPOC,10
WASP-087,120,SPOC,11
WASP-087,120,SPOC,37
WASP-091,120,SPOC,1
WASP-091,120,SPOC,27
WASP-091,120,SPOC,28
WASP-092,120,SPOC,24
WASP-092,120,SPOC,25
WASP-092,120,SPOC,23
WASP-093,120,SPOC,17
WASP-094A,120,SPOC,1
WASP-094A,120,SPOC,27
WASP-095,120,SPOC,1
WASP-095,120,SPOC,28
WASP-096,120,SPOC,2
WASP-096,120,SPOC,29
WASP-097,120,SPOC,2
WASP-097,120,SPOC,29
WASP-098,120,SPOC,4
WASP-098,120,SPOC,31
WASP-099,120,SPOC,3
WASP-099,120,SPOC,29
WASP-099,120,SPOC,30
WASP-100,120,SPOC,1
WASP-100,120,SPOC,2
WASP-100,120,SPOC,3
WASP-100,120,SPOC,4
WASP-100,120,SPOC,5
WASP-100,120,SPOC,6
WASP-100,120,SPOC,7
WASP-100,120,SPOC,8
WASP-100,120,SPOC,9
WASP-100,120,SPOC,10
WASP-100,120,SPOC,11
WASP-100,120,SPOC,12
WASP-100,120,SPOC,13
WASP-100,120,SPOC,27
WASP-100,120,SPOC,28
WASP-100,120,SPOC,29
WASP-100,120,SPOC,30
WASP-100,120,SPOC,31
WASP-100,120,SPOC,32
WASP-100,120,SPOC,33
WASP-100,120,SPOC,34
WASP-100,120,SPOC,35
WASP-100,120,SPOC,36
WASP-100,120,SPOC,37
WASP-100,120,SPOC,38
WASP-100,120,SPOC,39
WASP-101,120,SPOC,33
WASP-101,120,SPOC,6
WASP-105,120,SPOC,2
WASP-105,120,SPOC,3
WASP-105,120,SPOC,29
WASP-106,120,SPOC,9
WASP-106,120,SPOC,36
WASP-107,1800,TESS-SPOC,10
WASP-108,120,SPOC,11
WASP-108,120,SPOC,37
WASP-108,120,SPOC,38
WASP-110,600,TESS-SPOC,27
WASP-111,120,SPOC,1
WASP-111,120,SPOC,28
WASP-112,120,SPOC,1
WASP-112,120,SPOC,28
WASP-113,1800,TESS-SPOC,16
WASP-113,120,SPOC,24
WASP-113,120,SPOC,23
WASP-117,120,SPOC,2
WASP-117,120,SPOC,3
WASP-117,120,SPOC,29
WASP-117,120,SPOC,30
WASP-118,120,SPOC,42
WASP-118,120,SPOC,43
WASP-119,120,SPOC,1
WASP-119,120,SPOC,2
WASP-119,120,SPOC,3
WASP-119,120,SPOC,4
WASP-119,120,SPOC,7
WASP-119,120,SPOC,11
WASP-119,120,SPOC,27
WASP-119,120,SPOC,28
WASP-119,120,SPOC,29
WASP-119,120,SPOC,30
WASP-119,120,SPOC,31
WASP-119,120,SPOC,34
WASP-119,120,SPOC,37
WASP-120,120,SPOC,4
WASP-120,120,SPOC,5
WASP-120,120,SPOC,30
WASP-120,120,SPOC,31
WASP-121,120,SPOC,33
WASP-121,120,SPOC,34
WASP-121,120,SPOC,7
WASP-122,120,SPOC,7
WASP-122,120,SPOC,33
WASP-122,120,SPOC,34
WASP-123,120,SPOC,27
WASP-123,120,SPOC,13
WASP-124,120,SPOC,1
WASP-126,120,SPOC,1
WASP-126,120,SPOC,2
WASP-126,120,SPOC,3
WASP-126,120,SPOC,4
WASP-126,120,SPOC,5
WASP-126,120,SPOC,6
WASP-126,120,SPOC,7
WASP-126,120,SPOC,8
WASP-126,120,SPOC,9
WASP-126,120,SPOC,10
WASP-126,120,SPOC,11
WASP-126,120,SPOC,12
WASP-126,120,SPOC,13
WASP-126,120,SPOC,27
WASP-126,120,SPOC,28
WASP-126,120,SPOC,29
WASP-126,120,SPOC,30
WASP-126,120,SPOC,31
WASP-126,120,SPOC,32
WASP-126,120,SPOC,33
WASP-126,120,SPOC,34
WASP-126,120,SPOC,36
WASP-126,120,SPOC,37
WASP-126,120,SPOC,38
WASP-126,120,SPOC,39
WASP-127,120,SPOC,9
WASP-127,120,SPOC,35
WASP-129,120,SPOC,10
WASP-129,120,SPOC,37
WASP-130,120,SPOC,11
WASP-130,120,SPOC,37
WASP-131,120,SPOC,11
WASP-132,120,SPOC,11
WASP-132,120,SPOC,38
WASP-135,120,SPOC,26
WASP-136,120,SPOC,42
WASP-136,120,SPOC,29
WASP-137,1800,TESS-SPOC,3
WASP-137,120,SPOC,30
WASP-138,120,SPOC,4
WASP-138,120,SPOC,31
WASP-139,120,SPOC,3
WASP-139,120,SPOC,4
WASP-139,120,SPOC,30
WASP-139,120,SPOC,31
WASP-140,120,SPOC,4
WASP-140,120,SPOC,5
WASP-140,120,SPOC,31
WASP-141,120,SPOC,32
WASP-141,120,SPOC,5
WASP-142,120,SPOC,35
WASP-142,120,SPOC,8
WASP-143,600,TESS-SPOC,35
WASP-143,1800,TESS-SPOC,8
WASP-144,1800,TESS-SPOC,1
WASP-144,120,SPOC,28
WASP-145,120,SPOC,27
WASP-146,1800,TESS-SPOC,2
WASP-146,120,SPOC,29
WASP-147,1800,TESS-SPOC,2
WASP-147,120,SPOC,29
WASP-148,1800,TESS-SPOC,24
WASP-148,1800,TESS-SPOC,25
WASP-151,120,SPOC,42
WASP-153,120,SPOC,40
WASP-153,120,SPOC,26
WASP-153,1800,TESS-SPOC,14
WASP-156,120,SPOC,43
WASP-156,120,SPOC,42
WASP-156,120,SPOC,4
WASP-156,120,SPOC,31
WASP-159,1800,TESS-SPOC,4
WASP-159,1800,TESS-SPOC,5
WASP-159,120,SPOC,31
WASP-159,120,SPOC,32
WASP-160,600,TESS-SPOC,33
WASP-161,120,SPOC,34
WASP-161,1800,TESS-SPOC,7
WASP-162,1800,TESS-SPOC,9
WASP-162,120,SPOC,36
WASP-164,120,SPOC,28
WASP-165,1800,TESS-SPOC,2
WASP-165,120,SPOC,29
WASP-167,120,SPOC,10
WASP-167,120,SPOC,37
WASP-168,120,SPOC,32
WASP-168,120,SPOC,33
WASP-168,120,SPOC,34
WASP-169,120,SPOC,34
WASP-169,1800,TESS-SPOC,8
WASP-170,120,SPOC,35
WASP-171,1800,TESS-SPOC,10
WASP-171,120,SPOC,36
WASP-171,120,SPOC,37
WASP-172,1800,TESS-SPOC,11
WASP-172,120,SPOC,37
WASP-172,120,SPOC,38
WASP-173,120,SPOC,2
WASP-173,120,SPOC,29
WASP-174,120,SPOC,37
WASP-175,120,SPOC,36
WASP-177,120,SPOC,42
WASP-180,1800,TESS-SPOC,7
WASP-180,120,SPOC,34
WASP-181,120,SPOC,42
WASP-181,120,SPOC,43
WASP-182,600,TESS-SPOC,27
WASP-183,120,SPOC,35
WASP-184,1800,TESS-SPOC,11
WASP-186,120,SPOC,42
WASP-186,1800,TESS-SPOC,17
WASP-187,1800,TESS-SPOC,17
WASP-190,1800,TESS-SPOC,2
WASP-190,120,SPOC,29
WASP-192,1800,TESS-SPOC,11
WASP-192,120,SPOC,38
XO-1,120,SPOC,24
XO-2N,120,SPOC,20
XO-3,120,SPOC,19
XO-4,120,SPOC,20
XO-6,120,SPOC,40
XO-6,120,SPOC,26
XO-6,120,SPOC,19
XO-6,120,SPOC,20
XO-7,120,SPOC,40
XO-7,1800,TESS-SPOC,18
XO-7,1800,TESS-SPOC,19
XO-7,1800,TESS-SPOC,20
XO-7,120,SPOC,25
XO-7,120,SPOC,26